list_place,A,B,C,mu_a-ea0,mu_b-ea0,mu_cea0,e,e_tot,zpe,harm_freq,formula,iupac_name,canonical_smi,internal_smi,weight,charge,name,multiplicity,distance,log_column,log_column_unc,mu_a,mu_b,mu_c
594,7248.92839,1947.05247,1549.52956,-0.0003501,-0.1292755,-0.0586249,-271.420128000466,,,[],C7H8,"1-ethenylcyclopenta-1,3-diene",C=CC1=CC=CC1,C=CC1=CC=CC1,92.14,0,geom595,1,0.053021878,12.075509797125500,1.0828940419508400,-0.00088986543281019,-0.3285855434425980,-0.1490096315679920
1460,5386.26632,5302.78178,2786.1514,-0.1385147,0.1885327,0.6138171,-249.377949339279,,,[],C5H7N,"1,2-dihydropyridine",C1C=CC=CN1,C1=CCNC=C1,81.12,0,geom1462,1,0.05652543,12.037074633139900,1.0832689467673000,-0.3520692472609930,0.4792023212921270,1.5601674360405500
766,17482.54911,2750.00767,2645.94163,0.3219253,-0.2736873,-0.1888852,-459.790157319976,,,[],C3H7P,prop-2-enylphosphane,C=CCP,C=CCP,74.06,0,geom767,1,0.04946941,12.372955091080500,1.0833087172556400,0.8182524890518430,-0.6956437237050910,-0.48009828691642200
1260,16852.45385,1418.22881,1398.62831,0.0645689,-0.0186519,-0.0155809,-233.288737932383,,,[],C6H8,,C=CCC=C=C,C=C=CCC=C,80.13,0,geom1261,1,0.077992484,12.087274940819000,1.083691821816460,0.1641177724780860,-0.04740840064619360,-0.03960269729240870
874,19579.19617,2286.9513,2257.82043,-0.5129793,0.2707262,-0.0266377,-211.251355480417,,,[],C4H7N,,C=C=CCN,C=C=CCN,69.11,0,geom875,1,0.04824679,11.953002933431400,1.0842587828771800,-1.3038633156731500,0.6881173582863700,-0.06770627946177660
1508,8508.68108,2072.05135,1666.27917,-3.32E-05,0.0001519,0.0797572,-302.251834727681,,,[],C5H4N2,"5-diazocyclopenta-1,3-diene",C1=CC(=[N+]=[N-])C=C1,[N-]=[N+]=C1C=CC=C1,92.1,0,geom1510,1,0.071076825,12.598965158861400,1.0847524390705300,-8.438598220308E-05,0.00038609128604361,0.20272258011347900
1558,8210.66023,3812.91878,2603.76561,-0.000173,2.07E-05,-0.2420646,-232.114082991672,,,[],C6H6,fulvene,C=C1C=CC=C1,C=C1C=CC=C1,78.11,0,geom1560,1,0.08749947,12.354036821998800,1.095363018103430,-0.0004397221361787,5.261415155433E-05,-0.6152668381805930
1837,35555.69368,2396.22499,2280.38233,0.0017541,0.1820595,-1.5377956,-229.907333617644,,,[],C4H4O,,C=C=CC=O,C=C=CC=O,68.07,0,geom1839,1,0.061761804,12.070125269311000,1.0956422113663700,0.00445847745127779,0.46274908815968800,-3.9086865100474300
909,8962.25555,4194.57494,2908.8267,-0.0001379,0.861771,-1.0401399,-231.163649750386,,,[],C4H6O,but-3-en-2-one,CC(=O)C=C,C=CC(C)=O,70.09,0,geom910,1,0.058708664,12.07073369786690,1.0986130890238100,-0.00035050683571701000,2.190403381600320,-2.6437719003046200
662,4617.47693,991.37325,820.76672,0.000139,-0.0466959,-0.0284522,-347.600306014182,,,[],C9H8,,C=C=CC1=CC=CC=C1,C=C=Cc1ccccc1,116.16,0,geom663,1,0.08027919,11.938985612979800,1.0989264776514200,0.00035330275681410000,-0.11868913814327700,-0.07231827839874920
