SMILES,SELFIES,COLUMN DENSITY,STD,anchor,distance,gpr_column,uncertainty
CC=C=O,[C][C][=C][=O],11.99362502191763,1.348893200984194,CC#CC#C,0.05830796,[11.99362502],[1.3488932]
C#C[CH]C=C,[C][#C][CH1][C][=C],12.496186217220016,1.3561882416101367,CC#CC#C,0.058350436,[12.49618622],[1.35618824]
C=CC(C=C)Oc1ccccc1C#N,[C][=C][C][Branch1][Ring1][C][=C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][#N],12.09087170948874,1.4614675310026994,CC#CC#C,0.0589045,[12.09087171],[1.46146753]
NCCC=O,[N][C][C][C][=O],11.78421941163738,1.4150559427890652,CC#CC#C,0.058957696,[11.78421941],[1.41505594]
CSC=O,[C][S][C][=O],11.968025220660143,1.3723729988540336,CC#CC#C,0.05963527,[11.96802522],[1.372373]
N#CC/C=C\CC#N,[N][#C][C][/C][=C][\C][C][#N],11.7532805010123,1.4121137189744795,CC#CC#C,0.05998902,[11.7532805],[1.41211372]
COC1=Cc2ccccc2C1,[C][O][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=Branch2],12.049845857608009,1.459025517523358,CC#CC#C,0.060003463,[12.04984586],[1.45902552]
C#CC1=CCCC1,[C][#C][C][=C][C][C][C][Ring1][Branch1],11.971607283666662,1.417814162250506,CC#CC#C,0.060475696,[11.97160728],[1.41781416]
C=CCOC=C,[C][=C][C][O][C][=C],11.774494556809351,1.392048688120302,CC#CC#C,0.060522433,[11.77449456],[1.39204869]
C=C=C=C=[C][CH2+],[C][=C][=C][=C][=CH0][CH2+1],11.689061369630496,1.3691522823392532,CC#CC#C,0.060532097,[11.68906137],[1.36915228]
C#C[C]=C=C,[C][#C][CH0][=C][=C],12.290577000760763,1.3743675419748727,CC#CC#C,0.060912594,[12.290577],[1.37436754]
C/C=C/C=C\C=N/O,[C][/C][=C][/C][=C][\C][=N][/O],11.83447997488182,1.4464010216609646,CC#CC#C,0.06094388,[11.83447997],[1.44640102]
